,fish_id,group,treatment,exposure,attempts,last_flux,time_in_last_flux,resistance_index,lt,ls,wt,Kc,sex,blood_sugar
374,3BT96hCTR08,96h 0.0%,0.0,96,1.0,9.0,18.0,38.7,3.3,2.7,0.33,1.676573693034598,male,98.0
375,3BT96hCTR09,96h 0.0%,0.0,96,1.0,9.0,5.0,36.75,3.0,2.4,0.19,1.3744212962962965,unidentified,116.0
376,3BT96hCTR10,96h 0.0%,0.0,96,1.0,8.0,12.0,29.6,3.5,2.8,0.31,1.412172011661808,male,126.57142857142857
377,3BT96hCTR11,96h 0.0%,0.0,96,1.0,5.0,4.0,10.333333333333334,3.1,2.5,0.22,1.4080000000000001,male,126.57142857142857
378,3BT96hCTR12,96h 0.0%,0.0,96,1.0,9.0,40.0,42.0,3.7,3.0,0.34,1.2592592592592593,female,125.0
379,3BT96hCTR13,96h 0.0%,0.0,96,1.0,9.0,54.0,44.1,3.0,2.4,0.29,2.097800925925926,male,126.57142857142857
380,3BT96hCTR14,96h 0.0%,0.0,96,1.0,8.0,30.0,32.0,3.1,2.5,0.24,1.5359999999999998,female,126.57142857142857
381,3BT96hCTR15,96h 0.0%,0.0,96,1.0,9.0,46.0,42.9,4.2,3.4,0.57,1.4502340728679015,female,179.0
382,3BT96hCTR16,96h 0.0%,0.0,96,1.0,6.0,17.0,16.7,3.3,2.5,0.23,1.472,female,180.0
383,3BT96h00501,96h 0.5%,0.5,96,3.0,4.0,49.0,9.266666666666666,2.7,2.1,0.13,1.4037360976136484,male,89.4
384,3BT96h00502,96h 0.5%,0.5,96,2.0,2.0,38.0,2.2666666666666666,2.9,2.4,0.1,0.7233796296296298,male,89.4
385,3BT96h00503,96h 0.5%,0.5,96,2.0,6.0,24.0,17.4,3.6,2.5,0.3,1.92,female,73.0
386,3BT96h00504,96h 0.5%,0.5,96,2.0,2.0,20.0,1.6666666666666665,3.1,2.5,0.16,1.024,male,89.4
387,3BT96h00505,96h 0.5%,0.5,96,5.0,1.0,21.0,0.35,3.4,2.7,0.21,1.0669105319311079,male,89.4
388,3BT96h00506,96h 0.5%,0.5,96,1.0,7.0,10.0,22.166666666666668,3.4,2.6,0.24,1.3654984069185252,female,53.0
389,3BT96h00507,96h 0.5%,0.5,96,2.0,3.0,6.0,3.3,3.2,2.4,0.18,1.3020833333333335,female,89.4
390,3BT96h00508,96h 0.5%,0.5,96,1.0,6.0,40.0,19.0,3.5,2.8,0.28,1.275510204081633,female,89.4
391,3BT96h00509,96h 0.5%,0.5,96,5.0,1.0,42.0,0.7,3.2,2.6,0.11,0.6258534365043241,male,89.4
392,3BT96h00510,96h 0.5%,0.5,96,1.0,3.0,18.0,3.9,2.9,2.4,0.12,0.8680555555555556,male,89.4
393,3BT96h00511,96h 0.5%,0.5,96,3.0,4.0,16.0,7.066666666666666,3.0,2.4,0.15,1.0850694444444446,male,89.4
394,3BT96h00512,96h 0.5%,0.5,96,2.0,5.0,8.0,10.666666666666666,3.4,2.7,0.22,1.1177157953563988,female,127.0
395,3BT96h00513,96h 0.5%,0.5,96,1.0,6.0,8.0,15.8,3.3,2.7,0.27,1.371742112482853,female,74.0
396,3BT96h00514,96h 0.5%,0.5,96,3.0,7.0,59.0,27.883333333333333,3.5,2.8,0.28,1.275510204081633,female,120.0
397,3BT96h00515,96h 0.5%,0.5,96,2.0,6.0,37.0,18.7,3.0,2.4,0.19,1.3744212962962965,male,89.4
398,3BT96h00516,96h 0.5%,0.5,96,5.0,1.0,38.0,0.6333333333333333,3.3,2.7,0.28,1.422547375908144,male,89.4
399,3BT96h01001,96h 1.0%,1.0,96,1.0,3.0,37.0,4.85,3.2,2.4,0.19,1.3744212962962965,male,79.71428571428571
400,3BT96h01002,96h 1.0%,1.0,96,3.0,2.0,55.0,2.833333333333333,3.4,2.8,0.27,1.2299562682215748,female,79.71428571428571
401,3BT96h01003,96h 1.0%,1.0,96,1.0,2.0,29.0,1.9666666666666668,3.1,2.5,0.22,1.4080000000000001,female,79.71428571428571
402,3BT96h01004,96h 1.0%,1.0,96,5.0,1.0,18.0,0.3,3.1,2.6,0.16,0.9103322712790167,male,79.71428571428571
403,3BT96h01005,96h 1.0%,1.0,96,1.0,6.0,4.0,15.4,3.7,3.0,0.39,1.4444444444444446,female,55.0
404,3BT96h01006,96h 1.0%,1.0,96,1.0,6.0,11.0,16.1,3.3,2.7,0.32,1.6257684296093071,female,79.71428571428571
405,3BT96h01007,96h 1.0%,1.0,96,3.0,2.0,10.0,1.3333333333333333,3.4,2.7,0.19,0.9653000050805262,male,79.71428571428571
406,3BT96h01008,96h 1.0%,1.0,96,2.0,3.0,43.0,5.15,3.2,2.6,0.21,1.1948111060537094,male,79.71428571428571
407,3BT96h01009,96h 1.0%,1.0,96,5.0,1.0,36.0,0.6,2.8,2.2,0.18,1.6904583020285493,male,79.71428571428571
408,3BT96h01010,96h 1.0%,1.0,96,1.0,5.0,55.0,14.583333333333332,3.0,2.4,0.18,1.3020833333333335,male,71.0
409,3BT96h01011,96h 1.0%,1.0,96,1.0,5.0,43.0,13.583333333333334,3.5,2.9,0.41,1.6810857353725042,female,122.0
410,3BT96h01012,96h 1.0%,1.0,96,1.0,5.0,35.0,12.916666666666666,4.3,3.4,0.56,1.4247913698351315,female,91.0
411,3BT96h01013,96h 1.0%,1.0,96,1.0,4.0,12.0,6.8,3.7,2.8,0.36,1.6399416909620994,male,69.0
412,3BT96h01014,96h 1.0%,1.0,96,1.0,6.0,1.0,15.1,3.6,2.8,0.31,1.412172011661808,male,37.0
413,3BT96h01015,96h 1.0%,1.0,96,3.0,4.0,13.0,6.866666666666667,3.5,2.7,0.38,1.9306000101610523,female,113.0
